spearman_r1,spearman_r2,spearman_r3,spearman_r4,spearman_r5
0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147
-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426
-0.32700207049679847,-0.32700207049679847,-0.32700207049679847,-0.32700207049679847,-0.32700207049679847
-0.18299122488065875,-0.18299122488065875,-0.18299122488065875,-0.18299122488065875,-0.18299122488065875
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.36815331206105956,0.36815331206105956,0.36815331206105956,0.36815331206105956,0.36815331206105956
,,,,
-0.25661918057458094,-0.25661918057458094,-0.25661918057458094,-0.25661918057458094,-0.25661918057458094
,,,,
0.09430229032251865,0.09430229032251865,0.09430229032251865,0.09430229032251865,0.09430229032251865
0.2259687995452258,0.2259687995452258,0.2259687995452258,0.2259687995452258,0.2259687995452258
-0.13349285253447446,-0.13349285253447446,-0.13349285253447446,-0.13349285253447446,-0.13349285253447446
-0.26384014018838103,-0.26384014018838103,-0.26384014018838103,-0.26384014018838103,-0.26384014018838103
0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147
-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426
-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165
-0.0709894112301344,-0.0709894112301344,-0.0709894112301344,-0.0709894112301344,-0.0709894112301344
0.2555043487607109,0.2555043487607109,0.2555043487607109,0.2555043487607109,0.2555043487607109
-0.06036327274391502,-0.06036327274391502,-0.06036327274391502,-0.06036327274391502,-0.06036327274391502
-0.03612650414219157,-0.03612650414219157,-0.03612650414219157,-0.03612650414219157,-0.03612650414219157
-0.008809949132729665,-0.008809949132729665,-0.008809949132729665,-0.008809949132729665,-0.008809949132729665
0.31752936059156156,0.31752936059156156,0.31752936059156156,0.31752936059156156,0.31752936059156156
0.057889022131054,0.057889022131054,0.057889022131054,0.057889022131054,0.057889022131054
0.05547110430873692,0.05547110430873692,0.05547110430873692,0.05547110430873692,0.05547110430873692
0.07774690210200923,0.07774690210200923,0.07774690210200923,0.07774690210200923,0.07774690210200923
0.7281829625958899,0.7281829625958899,0.7281829625958899,0.7281829625958899,0.7281829625958899
0.10395824271422356,0.10395824271422356,0.10395824271422356,0.10395824271422356,0.10395824271422356
-0.01609045482699343,-0.01609045482699343,-0.01609045482699343,-0.01609045482699343,-0.01609045482699343
0.29354208130325854,0.29354208130325854,0.29354208130325854,0.29354208130325854,0.29354208130325854
0.4668911460354587,0.4668911460354587,0.4668911460354587,0.4668911460354587,0.4668911460354587
0.04010471601166181,0.04010471601166181,0.04010471601166181,0.04010471601166181,0.04010471601166181
0.02849086663125507,0.02849086663125507,0.02849086663125507,0.02849086663125507,0.02849086663125507
0.26121037328522156,0.26121037328522156,0.26121037328522156,0.26121037328522156,0.26121037328522156
0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147
-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426
-0.32700207049679847,-0.32700207049679847,-0.32700207049679847,-0.32700207049679847,-0.32700207049679847
-0.18299122488065875,-0.18299122488065875,-0.18299122488065875,-0.18299122488065875,-0.18299122488065875
0.8305785123966941,0.8305785123966941,0.8305785123966941,0.8305785123966941,0.8305785123966941
0.7684279372783079,0.7684279372783079,0.7684279372783079,0.7684279372783079,0.7684279372783079
0.6304915180513266,0.6304915180513266,0.6304915180513266,0.6304915180513266,0.6304915180513266
0.8103523270987385,0.8103523270987385,0.8103523270987385,0.8103523270987385,0.8103523270987385
0.8392779469334491,0.8392779469334491,0.8392779469334491,0.8392779469334491,0.8392779469334491
0.7561983471074379,0.7561983471074379,0.7561983471074379,0.7561983471074379,0.7561983471074379
0.5434971726837755,0.5487168334058286,0.5487168334058286,0.5487168334058286,0.5487168334058286
0.7712048716833405,0.7712048716833405,0.7712048716833405,0.7712048716833405,0.7712048716833405
0.8349282296650717,0.8349282296650717,0.8349282296650717,0.8349282296650717,0.8349282296650717
0.7553284036537625,0.7553284036537625,0.7553284036537625,0.7553284036537625,0.7553284036537625
0.26533275337103085,0.26533275337103085,0.26533275337103085,0.26533275337103085,0.26533275337103085
0.6585471944323619,0.6585471944323619,0.6585471944323619,0.6585471944323619,0.6585471944323619
0.8006088469322947,0.8006088469322947,0.8006088469322947,0.8006088469322947,0.8006088469322947
0.3601565898216616,0.3601565898216616,0.3601565898216616,0.3601565898216616,0.3601565898216616
-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165
0.06228929640513023,0.06228929640513023,0.06228929640513023,0.06228929640513023,0.06228929640513023
0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147,0.01199961001901147
-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426,-0.042998602568124426
-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165,-0.3217841195176165
-0.0709894112301344,-0.0709894112301344,-0.0709894112301344,-0.0709894112301344,-0.0709894112301344
0.2555043487607109,0.2555043487607109,0.2555043487607109,0.2555043487607109,0.2555043487607109
-0.06036327274391502,-0.06036327274391502,-0.06036327274391502,-0.06036327274391502,-0.06036327274391502
-0.03612650414219157,-0.03612650414219157,-0.03612650414219157,-0.03612650414219157,-0.03612650414219157
-0.008809949132729665,-0.008809949132729665,-0.008809949132729665,-0.008809949132729665,-0.008809949132729665
