jsd_silhouette,jsd_calinski,jsd_eigengap,freq_clusters_1_silhouette,freq_clusters_2_silhouette,freq_clusters_1_calinski,freq_clusters_2_calinski,freq_clusters_1_eigengap,freq_clusters_2_eigengap,parameters
0.3837109401782917,0.3837109401782917,0.3758572342933052,"{2: 0, 0: 5, 3: 2, 1: 1, 4: 3}","{2: 2, 0: 9, 3: 1, 1: 1, 4: 1}","{2: 0, 0: 5, 3: 2, 1: 1, 4: 3}","{2: 2, 0: 9, 3: 1, 1: 1, 4: 1}","{1: 0, 0: 6, 2: 5}","{1: 2, 0: 10, 2: 2}","{'word': 'überspannen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.23396980263771833,0.33796002126708957,0.23396980263771833,"{0: 22, 1: 0}","{0: 17, 1: 2}","{0: 22, 2: 0, 1: 0, 3: 0}","{0: 15, 2: 1, 1: 2, 3: 1}","{0: 22, 1: 0}","{0: 17, 1: 2}","{'word': 'Manschette', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5483509695484271,0.5483509695484271,0.0,"{4: 7, 2: 0, 3: 2, 0: 12, 1: 0}","{4: 6, 2: 5, 3: 2, 0: 3, 1: 3}","{4: 7, 2: 0, 3: 2, 0: 12, 1: 0}","{4: 6, 2: 5, 3: 2, 0: 3, 1: 3}",{0: 21},{0: 19},"{'word': 'Fuß', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.7046367870537737,0.7046367870537737,0.7046367870537737,"{0: 7, 2: 0, 3: 12, 1: 2}","{0: 20, 2: 4, 3: 0, 1: 0}","{0: 7, 2: 0, 3: 12, 1: 2}","{0: 20, 2: 4, 3: 0, 1: 0}","{0: 7, 2: 0, 3: 12, 1: 2}","{0: 20, 2: 4, 3: 0, 1: 0}","{'word': 'Rezeption', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8166380632616623,0.8166380632616623,0.8166380632616623,"{0: 1, 1: 23}","{0: 22, 1: 2}","{0: 1, 1: 23}","{0: 22, 1: 2}","{0: 1, 1: 23}","{0: 22, 1: 2}","{'word': 'abgebrüht', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5946642729055968,0.5946642729055968,0.5946642729055968,"{1: 4, 0: 9}","{1: 17, 0: 1}","{1: 4, 0: 9}","{1: 17, 0: 1}","{1: 4, 0: 9}","{1: 17, 0: 1}","{'word': 'Dynamik', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.8302961801327811,0.8302961801327811,0.8302961801327811,"{0: 3, 1: 18}","{0: 24, 1: 0}","{0: 3, 1: 18}","{0: 24, 1: 0}","{0: 3, 1: 18}","{0: 24, 1: 0}","{'word': 'Engpaß', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.924660694787462,0.924660694787462,0.9649496424404297,"{0: 0, 1: 20}","{0: 19, 1: 1}","{0: 0, 1: 20}","{0: 19, 1: 1}","{0: 0, 1: 2, 2: 18}","{0: 19, 1: 1, 2: 0}","{'word': 'abbauen', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.2895421595678569,0.2895421595678569,0.0,"{1: 16, 0: 3}","{1: 17, 0: 0}","{1: 16, 0: 3}","{1: 17, 0: 0}",{0: 19},{0: 17},"{'word': 'Mißklang', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
0.5183304704428527,0.5183304704428527,0.0,"{0: 22, 1: 0}","{0: 5, 1: 4}","{0: 22, 1: 0}","{0: 5, 1: 4}",{0: 22},{0: 9},"{'word': 'Abgesang', 'binarize': True, 'quantile': 0, 'word_level_threshold': False}"
